name,email,phone,website,address,city,state,niche,rating,reviewCount,lastReviewDate,reviewsLink,competitorName,competitorReviewCount,lane,sourceQuery,qa_flags,qa_recommendation
Milford Med Spa,frontdesk@holistichealingpartners.com,+1 203-701-6161,http://milfordmedspa.com/,"99 Cherry St Suite F, Milford, CT 06460",Milford,Connecticut,Medical spa,4.9,373,,https://search.google.com/local/reviews?placeid=ChIJa41x81Z16IkRUNRPJwnGBJY&q=*&authuser=0&hl=en&gl=US,,,reviews,"med spa, Connecticut, USA",,ok
Pure Skin MedSpa,jenna@ctskin.com,+1 860-854-4445,https://www.ctskin.com/newpaged154add3,"31 Liberty St Suite 110, Southington, CT 06489",Southington,Connecticut,Medical spa,4.9,840,,https://search.google.com/local/reviews?placeid=ChIJP-JlkJe354kRef6ZZzbEZh4&q=*&authuser=0&hl=en&gl=US,,,reviews,"med spa, Connecticut, USA",multiple_contacts_same_business,review_before_live
Pure Skin MedSpa,info@ctskin.com,+1 860-854-4445,https://www.ctskin.com/newpaged154add3,"31 Liberty St Suite 110, Southington, CT 06489",Southington,Connecticut,Medical spa,4.9,840,,https://search.google.com/local/reviews?placeid=ChIJP-JlkJe354kRef6ZZzbEZh4&q=*&authuser=0&hl=en&gl=US,,,reviews,"med spa, Connecticut, USA",multiple_contacts_same_business,review_before_live
Pure Skin MedSpa,jennifer@ctskin.com,+1 860-854-4445,https://www.ctskin.com/newpaged154add3,"31 Liberty St Suite 110, Southington, CT 06489",Southington,Connecticut,Medical spa,4.9,840,,https://search.google.com/local/reviews?placeid=ChIJP-JlkJe354kRef6ZZzbEZh4&q=*&authuser=0&hl=en&gl=US,,,reviews,"med spa, Connecticut, USA",multiple_contacts_same_business,review_before_live
Samara MedSpa Avon,info@samaramedspa.com,+1 860-996-4096,https://samaramedspa.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,"380 W Main St, Avon, CT 06001",Avon,Connecticut,Medical spa,4.8,390,,https://search.google.com/local/reviews?placeid=ChIJk-BzR5Cv54kR7Z17Hetyy7Q&q=*&authuser=0&hl=en&gl=US,,,reviews,"med spa, Connecticut, USA",multiple_contacts_same_business,review_before_live
Samara MedSpa Avon,christian@samaramedspa.com,+1 860-996-4096,https://samaramedspa.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,"380 W Main St, Avon, CT 06001",Avon,Connecticut,Medical spa,4.8,390,,https://search.google.com/local/reviews?placeid=ChIJk-BzR5Cv54kR7Z17Hetyy7Q&q=*&authuser=0&hl=en&gl=US,,,reviews,"med spa, Connecticut, USA",multiple_contacts_same_business,review_before_live
Blush Med Spa,blushmedspact@gmail.com,+1 860-430-4387,http://blushmedspact.com/,"100 Sycamore St Suite 1, top floor, Glastonbury, CT 06033",Glastonbury,Connecticut,Medical spa,4.8,255,,https://search.google.com/local/reviews?placeid=ChIJ0xVZsGdR5okR_h3nvAEhEYQ&q=*&authuser=0&hl=en&gl=US,,,reviews,"med spa, Connecticut, USA",personal_email_domain,review_before_live
The Bella Medical Spa,thebellamedicalspa@gmail.com,+1 475-269-5555,https://thebellamedicalspa.com/,"494 Bridgeport Ave, Shelton, CT 06484",Shelton,Connecticut,Medical spa,4.8,41,,https://search.google.com/local/reviews?placeid=ChIJr5FNegcL6IkRobu-0A1f1CY&q=*&authuser=0&hl=en&gl=US,,,reviews,"med spa, Connecticut, USA",personal_email_domain,review_before_live
Greenwich Medical Spa at Glastonbury,yourskinspecialist@greenwichmedicalspa.com,+1 860-368-0140,https://www.greenwichmedicalspa.com/contact-us-glastonbury/,"140 Glastonbury Blvd #24, Glastonbury, CT 06033",Glastonbury,Connecticut,Medical spa,4.8,272,,https://search.google.com/local/reviews?placeid=ChIJw_SfUilS5okRxhh4xPhHUOI&q=*&authuser=0&hl=en&gl=US,,,reviews,"med spa, Connecticut, USA",multiple_contacts_same_business,review_before_live
Greenwich Medical Spa at Glastonbury,greenwichmedicalmassage@gmail.com,+1 860-368-0140,https://www.greenwichmedicalspa.com/contact-us-glastonbury/,"140 Glastonbury Blvd #24, Glastonbury, CT 06033",Glastonbury,Connecticut,Medical spa,4.8,272,,https://search.google.com/local/reviews?placeid=ChIJw_SfUilS5okRxhh4xPhHUOI&q=*&authuser=0&hl=en&gl=US,,,reviews,"med spa, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
