name,email,phone,website,address,city,state,niche,rating,reviewCount,lastReviewDate,reviewsLink,competitorName,competitorReviewCount,lane,sourceQuery,qa_flags,qa_recommendation
Day Hill Kennels,dayhillken@aol.com,+1 860-688-2370,http://www.dayhillkennels.com/,"136 Addison Rd, Windsor, CT 06095",Windsor,Connecticut,Kennel,4.5,150,,https://search.google.com/local/reviews?placeid=ChIJC7Ps9Jf_5okRuA5pfQ3uQkM&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet boarding, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
Day Hill Kennels,info@dayhillkennels.com,+1 860-688-2370,http://www.dayhillkennels.com/,"136 Addison Rd, Windsor, CT 06095",Windsor,Connecticut,Kennel,4.5,150,,https://search.google.com/local/reviews?placeid=ChIJC7Ps9Jf_5okRuA5pfQ3uQkM&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet boarding, Connecticut, USA",multiple_contacts_same_business,review_before_live
Day Hill Kennels,spencer@dayhillkennels.com,+1 860-688-2370,http://www.dayhillkennels.com/,"136 Addison Rd, Windsor, CT 06095",Windsor,Connecticut,Kennel,4.5,150,,https://search.google.com/local/reviews?placeid=ChIJC7Ps9Jf_5okRuA5pfQ3uQkM&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet boarding, Connecticut, USA",multiple_contacts_same_business,review_before_live
Candlewick Kennels,petresort@candlewickkennels.com,+1 860-310-1916,https://www.candlewickkennels.com/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26y_source%3D1_MTE2NjkwOTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%253D,"2811 Hebron Ave, Glastonbury, CT 06033",Glastonbury,Connecticut,Pet boarding service,4.8,499,,https://search.google.com/local/reviews?placeid=ChIJL1ltEVpa5okRa7fpix2lzbA&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet boarding, Connecticut, USA",,ok
Bark Avenue Pet House,support@onlinedoggy.com,+1 203-303-4140,https://www.barkavenuepethouse.com/,"32 Higgins Dr, Milford, CT 06460",Milford,Connecticut,Pet boarding service,4.6,138,,https://search.google.com/local/reviews?placeid=ChIJzWZYIjZ06IkRh5_Gw2oE36I&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet boarding, Connecticut, USA",multiple_contacts_same_business,review_before_live
Bark Avenue Pet House,barkavenuepethouse@gmail.com,+1 203-303-4140,https://www.barkavenuepethouse.com/,"32 Higgins Dr, Milford, CT 06460",Milford,Connecticut,Pet boarding service,4.6,138,,https://search.google.com/local/reviews?placeid=ChIJzWZYIjZ06IkRh5_Gw2oE36I&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet boarding, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
Cherry Brook Kennels,cherrybrookkennels@gmail.com,+1 860-693-4658,https://www.cherrybrookkennels.com/,"490 Cherry Brook Rd, Canton, CT 06019",Canton,Connecticut,Pet boarding service,4.9,293,,https://search.google.com/local/reviews?placeid=ChIJC9fgxv4H54kRlMytG2MEvjY&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet boarding, Connecticut, USA",personal_email_domain,review_before_live
Canine Sports Center,diamonds56@optonline.net,+1 860-491-3904,http://caninesportscenter.com/,"416 Old Middle St, Goshen, CT 06756",Goshen,Connecticut,Pet boarding service,4.7,71,,https://search.google.com/local/reviews?placeid=ChIJoaqUBEWa54kRrWSshjMYYMk&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet boarding, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
Canine Sports Center,saragregware@optonline.net,+1 860-491-3904,http://caninesportscenter.com/,"416 Old Middle St, Goshen, CT 06756",Goshen,Connecticut,Pet boarding service,4.7,71,,https://search.google.com/local/reviews?placeid=ChIJoaqUBEWa54kRrWSshjMYYMk&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet boarding, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
K9 Resorts Luxury Pet Hotel Stamford,brendancollins@k9resorts.com,+1 203-344-7615,https://www.k9resorts.com/stamford/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp%26utm_content%3DStamford,"65 Harvard Ave, Stamford, CT 06902",Stamford,Connecticut,Pet boarding service,4.9,202,,https://search.google.com/local/reviews?placeid=ChIJCfGsYVaZwokRXC3K_xFXfiA&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet boarding, Connecticut, USA",multiple_contacts_same_business,review_before_live
K9 Resorts Luxury Pet Hotel Stamford,cassielow@gmail.com,+1 203-344-7615,https://www.k9resorts.com/stamford/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp%26utm_content%3DStamford,"65 Harvard Ave, Stamford, CT 06902",Stamford,Connecticut,Pet boarding service,4.9,202,,https://search.google.com/local/reviews?placeid=ChIJCfGsYVaZwokRXC3K_xFXfiA&q=*&authuser=0&hl=en&gl=US,,,reviews,"pet boarding, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
