name,email,phone,website,address,city,state,niche,rating,reviewCount,lastReviewDate,reviewsLink,competitorName,competitorReviewCount,lane,sourceQuery,qa_flags,qa_recommendation
Dental Associates of Connecticut,annielucarelli1230@gmail.com,+1 203-380-0660,https://dentalassociates.us/our-dentists-orthodontists/shelton-dentists/,"680 Bridgeport Ave, Shelton, CT 06484",Shelton,Connecticut,Dentist,4.8,717,,https://search.google.com/local/reviews?placeid=ChIJC8t3CX0L6IkR3KT8SMRwp9A&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA",personal_email_domain,review_before_live
Downtown Dental CT,office@regentsdental.com,+1 203-367-0400,https://downtowndentalct.com/,"1023 Main St, Bridgeport, CT 06604",Bridgeport,Connecticut,Dentist,4.9,702,,https://search.google.com/local/reviews?placeid=ChIJ9YTfw3AO6IkRy_txc4BRSZg&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA",,ok
Center Dental Office,info@centerdentaloffice.com,+1 860-523-4239,http://www.centerdentaloffice.com/,"836 Farmington Ave Suite 120, West Hartford, CT 06119",West Hartford,Connecticut,Dentist,5,172,,https://search.google.com/local/reviews?placeid=ChIJnatZs7-s54kRTqP2y9uQLJc&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA",,ok
Premier Dental of Connecticut in West Hartford,demartindental@gmail.com,+1 860-866-4364,https://www.premierdentalconnecticut.com/dentist-office/west-hartford-ct-06119,"836 Farmington Ave Ste 105, West Hartford, CT 06119",West Hartford,Connecticut,Dentist,4.7,767,,https://search.google.com/local/reviews?placeid=ChIJtatZs7-s54kRrvduMdHublo&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA",personal_email_domain,review_before_live
West Hartford Family Dental | Dentist in West Hartford CT | DMD,cdicomesdental@gmail.com,+1 860-233-0552,https://smartdentalnetwork.com/location/west-hartford-family-dental/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb-website%26utm_content%3Dwebsite_button,"342 N Main St # 300, West Hartford, CT 06117",West Hartford,Connecticut,Dentist,4.9,588,,https://search.google.com/local/reviews?placeid=ChIJGUcQO32r54kRw6tImNpjhao&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA",personal_email_domain,review_before_live
Connecticut Family Dental,tulsinama@gmail.com,+1 203-574-2725,http://www.ctfdental.com/,"171 Grandview Ave # 103, Waterbury, CT 06708",Waterbury,Connecticut,Dentist,4.7,535,,https://search.google.com/local/reviews?placeid=ChIJpe8ExUrA54kRTMvKMv7emkg&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
Connecticut Family Dental,as@ctfdental.com,+1 203-574-2725,http://www.ctfdental.com/,"171 Grandview Ave # 103, Waterbury, CT 06708",Waterbury,Connecticut,Dentist,4.7,535,,https://search.google.com/local/reviews?placeid=ChIJpe8ExUrA54kRTMvKMv7emkg&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA",multiple_contacts_same_business,review_before_live
Connecticut Family Dental,info@ctfdental.com,+1 203-574-2725,http://www.ctfdental.com/,"171 Grandview Ave # 103, Waterbury, CT 06708",Waterbury,Connecticut,Dentist,4.7,535,,https://search.google.com/local/reviews?placeid=ChIJpe8ExUrA54kRTMvKMv7emkg&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA",multiple_contacts_same_business,review_before_live
Manchester Dental Group,manchesterdentalgroup@gmail.com,+1 860-661-4000,https://www.manchesterdentalgroup.com/,"419 Middle Turnpike W, Manchester, CT 06040",Manchester,Connecticut,Dentist,4.9,779,,https://search.google.com/local/reviews?placeid=ChIJQ7_2V21X5okRZIZHKtHl8Os&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA",personal_email_domain,review_before_live
Dentist in Farmington CT | Advance Dental | Emergency and Oral Surgeon,advancedentalfd@gmail.com,+1 860-673-2455,https://gorgeoussmilesdental.com/locations/farmington/,"15/A New Britain Ave #3, Unionville, CT 06085",Unionville,Connecticut,Dentist,4.2,70,,https://search.google.com/local/reviews?placeid=ChIJN0gPO5Cv54kRy2PJ8vBXBsc&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
Dentist in Farmington CT | Advance Dental | Emergency and Oral Surgeon,archdentalcarenorthampton@gmail.com,+1 860-673-2455,https://gorgeoussmilesdental.com/locations/farmington/,"15/A New Britain Ave #3, Unionville, CT 06085",Unionville,Connecticut,Dentist,4.2,70,,https://search.google.com/local/reviews?placeid=ChIJN0gPO5Cv54kRy2PJ8vBXBsc&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
Dentist in Farmington CT | Advance Dental | Emergency and Oral Surgeon,churchstreetdentalofchicopee@gmail.com,+1 860-673-2455,https://gorgeoussmilesdental.com/locations/farmington/,"15/A New Britain Ave #3, Unionville, CT 06085",Unionville,Connecticut,Dentist,4.2,70,,https://search.google.com/local/reviews?placeid=ChIJN0gPO5Cv54kRy2PJ8vBXBsc&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA",personal_email_domain;multiple_contacts_same_business,review_before_live
Connecticut Family Dental Group,mailbox@ctfamilydentalgroup.com,+1 860-756-5423,https://www.dentist-rocky-hill.com/,"88 New Britain Ave, Rocky Hill, CT 06067",Rocky Hill,Connecticut,Dentist,4.9,279,,https://search.google.com/local/reviews?placeid=ChIJ5Qy-H-9M5okRSwCc5hZaNGw&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA",,ok
Smile Dental Center,office@smiledentalcenterct.com,+1 203-712-7726,https://www.smiledentalcenterct.com/%3Futm_source%3Dgmb%26utm_medium%3Dorganic,"1000 Bridgeport Ave, Shelton, CT 06484",Shelton,Connecticut,Dentist,5,717,,https://search.google.com/local/reviews?placeid=ChIJa2gnjXfg54kRu3zvyaG2T9M&q=*&authuser=0&hl=en&gl=US,,,reviews,"dental office, Connecticut, USA",,ok
